Submittal No,Title,Spec,Ball In Court,Date Submitted,Date Due,Lead Time (wks),Required On Site
03300-001,Concrete Mix Design,03 30 00,Architect,2026-06-10,2026-06-25,4,2026-08-15
05120-002,Structural Steel Shop Drawings,05 12 00,Architect,2026-06-20,2026-07-05,12,2026-08-01
07920-003,Joint Sealants,07 92 00,Architect,2026-07-01,2026-07-20,3,2026-09-30
08440-004,Curtain Wall / Glazing,08 44 00,Architect,2026-06-15,2026-06-30,16,2026-09-15
09510-005,Acoustical Ceilings,09 51 00,GC,2026-07-05,2026-07-25,6,2026-10-01
22400-006,Plumbing Fixtures,22 40 00,Architect,2026-06-28,2026-07-12,8,2026-08-20
23740-007,RTU Mechanical Units,23 74 00,Engineer,2026-06-05,2026-06-20,20,2026-09-01
26240-008,Electrical Switchgear,26 24 00,Engineer,2026-07-10,2026-07-30,22,2026-11-15
08710-009,Door Hardware,08 71 00,Architect,2026-07-08,2026-07-28,10,2026-10-15
33110-010,Site Utilities Materials,33 11 00,GC,2026-06-30,,5,2026-08-05
04200-011,Unit Masonry,04 20 00,Architect,2026-07-12,2026-07-26,6,2026-09-20
12480-012,Entrance Floor Mats,12 48 13,Architect,,,4,
